id,sexe,age,serie,note,niveau,I1,I2,I3,I4,I5,E1,E2,E3,E4,E5,NR,C1,C2,C3,C4,MAT,fiche,qualite
EPE-001,H,25-29,D,1.0,ECA,0.25,0.25,0.25,0.0,0.25,0,0,0,0,0,0,0,1,0,0,0,1,Insuffisante
EPE-002,F,20-24,D,0.5,NA,0,0,0.25,0.25,0,1,0,1,0,0,0,0,1,1,1,0,3,Insuffisante
EPE-003,H,25-29,C/E,1.5,A,0.25,0.25,0.25,0.5,0.25,0,0,0,0,0,0,1,2,1,2,1,6,Conforme
EPE-004,H,25-29,D,1.0,ECA,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,2,0,2,0,4,Acceptable
EPE-005,H,25-29,D,1.0,ECA,0.25,0,0.25,0.5,0,1,0,0,1,0,0,1,1,0,1,0,3,Insuffisante
EPE-006,H,20-24,A4,0.0,NA,0,0,0,0.0,0,1,0,1,1,1,0,0,0,0,1,0,1,Insuffisante
EPE-007,H,20-24,C/E,1.0,ECA,0.25,0.25,0.25,0.0,0.25,0,1,0,0,0,0,1,2,0,0,0,3,Insuffisante
EPE-008,H,30 et +,A4,0.25,NA,0,0,0,0.25,0,1,0,1,0,1,0,1,0,0,0,0,1,Insuffisante
EPE-009,F,20-24,D,0.75,ECA,0,0.25,0.25,0.25,0,0,0,1,0,0,0,0,2,0,1,0,3,Insuffisante
EPE-010,F,25-29,A4,1.25,A,0.25,0.25,0.25,0.5,0,0,0,0,1,0,0,1,2,2,0,1,5,Acceptable
EPE-011,F,30 et +,D,0.75,ECA,0.25,0,0.25,0.25,0,1,0,0,1,0,0,1,2,0,1,0,4,Acceptable
EPE-012,F,25-29,A4,0.0,NA,0,0,0,0.0,0,1,1,1,1,0,1,0,1,0,1,0,2,Insuffisante
EPE-013,H,25-29,D,0.75,ECA,0.25,0,0.25,0.0,0.25,1,1,0,0,0,0,0,1,0,1,0,2,Insuffisante
EPE-014,F,30 et +,D,1.5,A,0.25,0.25,0.25,0.5,0.25,0,0,0,0,0,0,0,2,2,0,1,4,Acceptable
EPE-015,F,20-24,D,1.0,ECA,0.25,0.25,0.25,0.0,0.25,0,0,0,0,0,0,0,2,1,2,0,5,Acceptable
EPE-016,H,20-24,A4,0.75,ECA,0.25,0.25,0,0.25,0,0,1,0,1,1,0,0,0,0,0,0,0,Insuffisante
